iteration,loss
0,1.003458023071289
100,0.8012329936027527
200,0.8656892776489258
300,0.7377113103866577
400,0.765455424785614
500,0.7216531038284302
600,0.7128151655197144
700,0.7051665186882019
800,0.7204256057739258
900,0.750593900680542
1000,0.7140133380889893
1100,0.7230502367019653
1200,0.6743621826171875
1300,0.700893759727478
1400,0.7497190237045288
1500,0.7291239500045776
1600,0.6245302557945251
1700,0.6767381429672241
1800,0.6413264274597168
1900,0.7085444331169128
2000,0.6609448194503784
2100,0.6584769487380981
2200,0.6732015609741211
2300,0.6428105235099792
2400,0.655723512172699
2500,0.7077605724334717
2600,0.6463303565979004
2700,0.6793855428695679
2800,0.7448002696037292
2900,0.6808904409408569
3000,0.6569228172302246
3100,0.6523500084877014
3200,0.6643515825271606
3300,0.699338436126709
3400,0.692076563835144
3500,0.6256279349327087
3600,0.6627585887908936
3700,0.6662073731422424
3800,0.6698996424674988
3900,0.6528830528259277
4000,0.6158366203308105
4100,0.6569605469703674
4200,0.6551361680030823
4300,0.5734853744506836
4400,0.6395996809005737
4500,0.6319136619567871
4600,0.6639360189437866
4700,0.6389474868774414
4800,0.6316781044006348
4900,0.6656914949417114
5000,0.5692555904388428
5100,0.646781861782074
5200,0.6273304224014282
5300,0.6746630072593689
5400,0.6350793242454529
5500,0.6398015022277832
5600,0.5753862857818604
5700,0.6856683492660522
5800,0.6882929801940918
5900,0.621088981628418
6000,0.6368230581283569
6100,0.5972456932067871
6200,0.6504930257797241
6300,0.648842453956604
6400,0.6078567504882812
6500,0.6284550428390503
6600,0.5907104015350342
6700,0.623721718788147
6800,0.6111272573471069
6900,0.6416006088256836
7000,0.5601398944854736
7100,0.6737527847290039
7200,0.6339969635009766
7300,0.5708106756210327
7400,0.6435171365737915
7500,0.6757702827453613
7600,0.6018408536911011
7700,0.5858243703842163
7800,0.6149340867996216
7900,0.6832923889160156
8000,0.6174969673156738
8100,0.6269658207893372
8200,0.6504532694816589
8300,0.5735870599746704
8400,0.6382653713226318
8500,0.620933473110199
8600,0.6572134494781494
8700,0.5643306970596313
8800,0.6243613362312317
8900,0.600693941116333
9000,0.610511064529419
9100,0.6078921556472778
9200,0.6386617422103882
9300,0.6613947749137878
9400,0.6326680183410645
9500,0.6398715972900391
9600,0.6290959119796753
9700,0.6101202368736267
9800,0.6168990731239319
9900,0.6643385887145996
10000,0.5824816823005676
10100,0.5949364900588989
10200,0.6327277421951294
10300,0.6077361702919006
10400,0.6324464082717896
10500,0.5776032209396362
10600,0.6066003441810608
10700,0.6682226061820984
10800,0.6147874593734741
10900,0.5646732449531555
11000,0.5797964334487915
11100,0.6561073660850525
11200,0.5814796686172485
11300,0.6225833892822266
11400,0.6265398263931274
11500,0.6108814477920532
11600,0.5674686431884766
11700,0.5720054507255554
11800,0.6394201517105103
11900,0.6310524344444275
12000,0.6551065444946289
12100,0.6460007429122925
12200,0.6151785254478455
12300,0.6217283606529236
12400,0.6211839914321899
12500,0.598322331905365
12600,0.5843218564987183
12700,0.5790062546730042
12800,0.5899327993392944
12900,0.6054672002792358
13000,0.5659112930297852
13100,0.6297764778137207
13200,0.5966619253158569
13300,0.5915037393569946
13400,0.6290252208709717
13500,0.5932635068893433
13600,0.5890333652496338
13700,0.642702043056488
13800,0.5815619230270386
13900,0.6346575021743774
14000,0.5952961444854736
14100,0.6405380964279175
14200,0.5776311159133911
14300,0.5673893690109253
14400,0.5480606555938721
14500,0.6159946322441101
14600,0.6335548162460327
14700,0.6198927164077759
14800,0.6198152303695679
14900,0.6109106540679932
15000,0.5708558559417725
15100,0.6384711265563965
15200,0.5166996121406555
15300,0.594537615776062
15400,0.5939677953720093
15500,0.6169650554656982
15600,0.5641416311264038
15700,0.6027489900588989
15800,0.5862479209899902
15900,0.585629403591156
16000,0.6071820259094238
16100,0.6614095568656921
16200,0.5934971570968628
16300,0.634039580821991
16400,0.5433493852615356
16500,0.5631358623504639
16600,0.5822644233703613
16700,0.5432971119880676
16800,0.5510034561157227
16900,0.5875473022460938
17000,0.626822292804718
17100,0.6138646602630615
17200,0.5957682132720947
17300,0.606942355632782
17400,0.5851434469223022
17500,0.6544883251190186
17600,0.5890302062034607
17700,0.5876200199127197
17800,0.6069951057434082
17900,0.6312174797058105
