iteration,train_loss
0,0.9865106344223022
300,0.8419681787490845
600,0.9719270467758179
900,0.8794821500778198
1200,0.8783611059188843
1500,0.838538646697998
1800,0.8812465667724609
2100,0.803034782409668
2400,0.8146419525146484
2700,0.8184901475906372
3000,0.8135044574737549
3300,0.7994135618209839
3600,0.8748209476470947
3900,0.8225350379943848
4200,0.8384291529655457
4500,0.7844918966293335
4800,0.7728037238121033
