iteration,loss
0,1.0227668285369873
100,0.9281045794487
200,0.7966294288635254
300,0.8352392911911011
400,0.7711724042892456
500,0.7996810674667358
600,0.7510819435119629
700,0.7611724734306335
800,0.7785024046897888
900,0.7214810252189636
1000,0.7061519622802734
1100,0.7108128070831299
1200,0.7370527982711792
1300,0.6833314895629883
1400,0.7593292593955994
1500,0.6815470457077026
1600,0.7164658904075623
1700,0.7598705291748047
1800,0.7139601111412048
1900,0.6741604208946228
2000,0.7142101526260376
2100,0.7529420852661133
