iteration,train_loss
0,1.1561554670333862
50,0.9231126308441162
100,0.8839482665061951
150,0.8595659136772156
200,0.7913751006126404
250,0.8135522603988647
300,0.7624155879020691
350,0.7952302694320679
400,0.7480823397636414
450,0.7755326628684998
500,0.7789521217346191
550,0.7760981321334839
600,0.7785447835922241
650,0.7159667015075684
700,0.7234506607055664
750,0.7501810789108276
800,0.7450751066207886
850,0.7917287349700928
900,0.7366766929626465
950,0.7546114325523376
1000,0.8003721237182617
1050,0.7432786822319031
1100,0.7151578664779663
1150,0.7233783006668091
1200,0.7348662614822388
1250,0.6958324313163757
1300,0.695891261100769
1350,0.7366340160369873
1400,0.7253128886222839
1450,0.7232969999313354
1500,0.6853079199790955
1550,0.7645705938339233
1600,0.8010483980178833
1650,0.7314080595970154
1700,0.7607632875442505
1750,0.7001645565032959
1800,0.707392692565918
1850,0.7878444194793701
1900,0.728106677532196
1950,0.6873592734336853
2000,0.7200285196304321
2050,0.7302589416503906
2100,0.7293609380722046
2150,0.7692837715148926
2200,0.6781574487686157
2250,0.6852244138717651
2300,0.6733269691467285
2350,0.7053298950195312
2400,0.6954565048217773
2450,0.7036635279655457
2500,0.747665286064148
2550,0.7445045709609985
2600,0.7443585395812988
2650,0.7454738616943359
2700,0.6741861701011658
2750,0.6737894415855408
2800,0.7271937131881714
2850,0.7045962810516357
2900,0.6616668701171875
2950,0.6631625890731812
3000,0.706962525844574
3050,0.694097638130188
3100,0.6690978407859802
3150,0.6705939173698425
3200,0.705184817314148
3250,0.6964432597160339
3300,0.7362930178642273
3350,0.6476374864578247
3400,0.6973778605461121
3450,0.7126328349113464
3500,0.7448241114616394
3550,0.6635919809341431
3600,0.7078811526298523
3650,0.7152609825134277
3700,0.6710521578788757
3750,0.7664928436279297
3800,0.7048189043998718
3850,0.6491018533706665
3900,0.7246291041374207
3950,0.7014936208724976
4000,0.6803159713745117
4050,0.6754182577133179
4100,0.656634509563446
4150,0.7025005221366882
4200,0.6368575096130371
4250,0.6601636409759521
4300,0.6784014701843262
4350,0.6526272296905518
4400,0.7435288429260254
4450,0.7346174716949463
4500,0.719415545463562
4550,0.6883714199066162
4600,0.6914632320404053
4650,0.6372723579406738
4700,0.6515643000602722
4750,0.6886473894119263
4800,0.7404954433441162
4850,0.7043947577476501
4900,0.7597354650497437
4950,0.682827353477478
